Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2021-11-26,4700.5,4717.0,4577.25,4595.75,2068167,26.6200008392334,28.989999771118164,23.8799991607666,28.6200008392334,5,11,26
2021-11-29,4589.0,4669.75,4588.75,4651.0,2014967,25.309999465942383,25.690000534057617,21.709999084472656,22.959999084472656,1,11,29
2021-11-30,4657.25,4667.5,4557.0,4566.25,2845560,26.229999542236328,28.559999465942383,23.709999084472656,27.190000534057617,2,11,30
2021-12-01,4587.5,4650.75,4497.75,4508.5,2670344,24.920000076293945,32.61000061035156,22.3799991607666,31.1200008392334,3,12,1
2021-12-02,4514.75,4593.75,4505.5,4575.75,2587324,29.440000534057617,30.68000030517578,27.149999618530273,27.950000762939453,4,12,2
2021-12-03,4587.25,4606.5,4492.0,4537.5,2747667,26.950000762939453,35.31999969482422,25.889999389648438,30.670000076293945,5,12,3
2021-12-06,4542.25,4611.75,4531.5,4590.0,2031995,28.989999771118164,30.81999969482422,26.75,27.18000030517578,1,12,6
2021-12-07,4594.25,4697.25,4587.25,4685.0,1771947,24.579999923706055,24.690000534057617,21.579999923706055,21.889999389648438,2,12,7
2021-12-08,4695.25,4712.0,4671.75,4699.0,1418355,21.739999771118164,23.110000610351562,19.850000381469727,19.899999618530273,3,12,8
2021-12-09,4697.25,4706.0,4662.25,4667.0,1593325,20.309999465942383,22.1200008392334,19.940000534057617,21.579999923706055,4,12,9
2021-12-10,4669.25,4712.75,4664.25,4711.0,1585049,21.270000457763672,21.299999237060547,18.690000534057617,18.690000534057617,5,12,10
2021-12-13,4711.25,4731.0,4664.75,4668.75,1605196,19.290000915527344,21.18000030517578,18.959999084472656,20.309999465942383,1,12,13
2021-12-14,4672.0,4686.0,4606.0,4637.0,1211592,19.670000076293945,23.0,19.670000076293945,21.889999389648438,2,12,14
2021-12-15,4637.75,4715.0,4611.25,4709.5,673190,21.600000381469727,23.469999313354492,19.020000457763672,19.290000915527344,3,12,15
2021-12-16,4711.5,4752.5,4651.25,4668.75,435986,18.559999465942383,22.1299991607666,18.190000534057617,20.56999969482422,4,12,16
2021-12-17,4674.25,4677.75,4629.5,4636.4599609375,2472118,20.700000762939453,23.260000228881836,20.489999771118164,21.56999969482422,5,12,17
2021-12-20,4612.0,4621.5,4520.25,4558.5,2097624,25.889999389648438,27.389999389648438,22.850000381469727,22.8700008392334,1,12,20
2021-12-21,4567.75,4643.0,4565.75,4640.75,1493880,22.280000686645508,22.68000030517578,20.899999618530273,21.010000228881836,2,12,21
2021-12-22,4641.75,4690.5,4622.25,4686.0,1104688,21.040000915527344,21.360000610351562,18.59000015258789,18.6299991607666,3,12,22
2021-12-23,4689.0,4731.25,4684.25,4715.75,978022,18.809999465942383,18.93000030517578,17.6200008392334,17.959999084472656,4,12,23
2021-12-27,4717.0,4784.25,4713.25,4782.25,898698,19.3700008392334,19.40999984741211,17.549999237060547,17.68000030517578,1,12,27
